Date,Permian_Oil_Prod,Permian_Gas_Prod,Appalachia_Oil_Prod,Appalachia_Gas_Prod,Haynesville_Oil_Prod,Haynesville_Gas_Prod,WTI_Price,HH_Price,Permian_Regional_Storage,Total_Shale_Gas,Permian_Share,Appalachia_Share,Haynesville_Share,Daily_Oil_Rev,Daily_Gas_Rev,Total_Rev,Oil_Rev_Pct,Bottleneck_Proxy,WTI_Price_Lag1,WTI_Price_Lag3,WTI_Price_Lag6,WTI_Price_Roll3,WTI_Price_Roll6,HH_Price_Lag1,HH_Price_Lag3,HH_Price_Lag6,HH_Price_Roll3,HH_Price_Roll6,Permian_Gas_Prod_Lag1,Permian_Gas_Prod_Lag3,Permian_Gas_Prod_Lag6,Permian_Gas_Prod_Roll3,Permian_Gas_Prod_Roll6,Total_Shale_Gas_Lag1,Total_Shale_Gas_Lag3,Total_Shale_Gas_Lag6,Total_Shale_Gas_Roll3,Total_Shale_Gas_Roll6,Month
2018-11-01,3943310,12480586,127000,31262728,41953,10067887,56.96,4.09,932.0,53811201,23.19328646836929,58.09706421531086,18.709649316319847,224610937.6,8800964.955172414,233411902.5551724,96.22942752326347,13391.18669527897,70.75,68.06,69.98,65.98,67.47500000000001,3.28,2.96,2.8,3.456666666666667,3.188333333333333,12211233.0,11928708.0,10719475.0,12272721.666666666,11863948.5,52781642.0,50582635.0,46960676.0,52837512.0,51011971.5,11
2018-12-01,4001725,12977745,126000,31546460,41840,10093241,49.52,4.04,873.5,54617446,23.761171476234903,57.7589439096072,18.4798846141579,198165422.0,9039670.655172413,207205092.6551724,95.63733181490086,14857.178019461935,56.96,70.23,67.87,59.076666666666675,64.41666666666667,4.09,3.0,2.97,3.8033333333333332,3.366666666666667,12480586.0,12126346.0,11016026.0,12556521.333333334,12190901.666666666,53811201.0,51919693.0,47949348.0,53736763.0,52123321.166666664,12
2019-01-01,3978061,13057167,124000,30874728,43057,10388658,51.38,3.11,829.75,54320553,24.037249768057407,56.83802224914758,19.12472798279502,204392774.18,7001342.994827586,211394117.1748276,96.68801427002941,15736.266345284725,49.52,70.75,70.98,52.620000000000005,61.15,4.04,3.28,2.83,3.746666666666666,3.4133333333333336,12977745.0,12211233.0,11420792.0,12838499.333333334,12463630.833333334,54617446.0,52781642.0,49027310.0,54249733.333333336,53005528.333333336,1
2019-02-01,4063956,13513815,118000,31132770,42981,10775628,54.95,2.69,658.5,55422213,24.383391186490513,56.17381247479237,19.442796338717113,223314382.20000002,6267614.198275862,229581996.39827588,97.2699888072221,20522.118451025057,51.38,56.96,68.06,51.949999999999996,58.965,3.11,4.09,2.96,3.28,3.3683333333333327,13057167.0,12480586.0,11928708.0,13182909.0,12727815.333333334,54320553.0,53811201.0,50582635.0,54786737.333333336,53812124.666666664,2
2019-03-01,4106158,13675244,114000,31272894,42044,10827718,58.15,2.95,494.0,55775856,24.518214476170478,56.06887324149719,19.412912282332343,238773087.7,6955512.034482759,245728599.73448274,97.16943325197052,27682.68016194332,54.95,49.52,70.23,54.826666666666675,56.951666666666675,2.69,4.04,3.0,2.9166666666666665,3.3599999999999994,13513815.0,12977745.0,12126346.0,13415408.666666666,12985965.0,55422213.0,54617446.0,51919693.0,55172874.0,54454818.5,3
2019-04-01,4189144,13642906,130000,30853485,40939,11061018,63.86,2.65,594.25,55557409,24.556411548997904,55.53442026067127,19.909168190330835,267518735.84,6233396.706896552,273752132.5468966,97.72297784535844,22958.192679848547,58.15,51.38,70.75,58.98666666666667,55.80333333333334,2.95,3.11,3.28,2.7633333333333336,3.2550000000000003,13675244.0,13057167.0,12211233.0,13610655.0,13224577.166666666,55775856.0,54320553.0,52781642.0,55585159.333333336,54917446.333333336,4
2019-05-01,4265974,14060532,130000,31080053,38419,11248503,60.83,2.64,761.4,56389088,24.934845550259656,55.11714074893356,19.948013700806793,259499198.42,6399966.289655172,265899164.70965517,97.59308522212037,18466.68242710796,63.86,54.95,56.96,60.94666666666666,56.44833333333333,2.65,2.69,4.09,2.7466666666666666,3.0133333333333336,13642906.0,13513815.0,12480586.0,13792894.0,13487901.5,55557409.0,55422213.0,53811201.0,55907451.0,55347094.166666664,5
2019-06-01,4283339,14296680,133000,31674961,39789,11314225,54.66,2.4,879.5,57285866,24.956731910101524,55.292802940257545,19.750465149640924,234127309.73999998,5915867.586206897,240043177.32620686,97.53549854984318,16255.463331438317,60.83,58.15,49.52,59.78333333333333,57.305,2.64,2.95,4.04,2.563333333333333,2.74,14060532.0,13675244.0,12977745.0,14000039.333333334,13707724.0,56389088.0,55775856.0,54617446.0,56410787.666666664,55791830.833333336,6
2019-07-01,4346901,14572577,153000,31789224,40442,11582141,57.35,2.37,927.5,57943942,25.149440126113614,54.86203199637332,19.988527877513064,249294772.35,5954656.463793104,255249428.8137931,97.66712251170713,15711.673315363882,54.66,63.86,51.38,57.61333333333334,58.300000000000004,2.4,2.65,3.11,2.47,2.6166666666666667,14296680.0,13642906.0,13057167.0,14309929.666666666,13960292.333333334,57285866.0,55557409.0,54320553.0,57206298.666666664,56395729.0,7
2019-08-01,4468903,15228233,157000,32404571,39789,11610169,54.81,2.22,939.0,59242973,25.704707628362943,54.69774617826827,19.59754619336879,244940573.43,5828737.45862069,250769310.8886207,97.67565758426893,16217.500532481363,57.35,60.83,54.95,55.60666666666666,58.27666666666667,2.37,2.64,2.69,2.33,2.5383333333333336,14572577.0,14060532.0,13513815.0,14699163.333333334,14246028.666666666,57943942.0,56389088.0,55422213.0,58157593.666666664,57032522.333333336,8
